Brand,Model,BodyType
Toyota,Rav,SUV
Toyota,Rav,Wagon
Toyota,Regius,Commercial
Toyota,Sai,nan
Toyota,Supra,Coupe
Toyota,Tarago,Wagon
Toyota,Tundra,Ute / Tray
Toyota,Vellfire,Commercial
Toyota,Vellfire,Wagon
Toyota,Vellfire,nan
Toyota,Voxy,Commercial
Toyota,Voxy,Wagon
Toyota,Voxy,nan
Toyota,Yaris,Hatchback
Toyota,Yaris,SUV
Toyota,Yaris,Sedan
Volkswagen,Amarok,Ute / Tray
Volkswagen,Amarok,nan
Volkswagen,Arteon,Hatchback
Volkswagen,Arteon,Wagon
Volkswagen,Beetle,Convertible
Volkswagen,Beetle,Hatchback
Volkswagen,CC,Sedan
Volkswagen,Caddy,Commercial
Volkswagen,Caddy,Wagon
Volkswagen,Caravelle,Wagon
Volkswagen,Crafter,Commercial
Volkswagen,Crafter,Ute / Tray
Volkswagen,Crafter,nan
Volkswagen,EOS,Convertible
Volkswagen,Golf,Convertible
Volkswagen,Golf,Hatchback
Volkswagen,Golf,SUV
Volkswagen,Golf,Wagon
Volkswagen,Jetta,Sedan
Volkswagen,Jetta,nan
Volkswagen,Multivan,Wagon
Volkswagen,Passat,SUV
Volkswagen,Passat,Sedan
Volkswagen,Passat,Wagon
Volkswagen,Polo,Hatchback
Volkswagen,Scirocco,Hatchback
Volkswagen,T-Cross,SUV
Volkswagen,T-Cross,Wagon
Volkswagen,T-ROC,SUV
Volkswagen,T-ROC,Wagon
Volkswagen,Tiguan,SUV
Volkswagen,Tiguan,Wagon
Volkswagen,Touareg,SUV
Volkswagen,Touareg,Wagon
Volkswagen,Transporter,Commercial
Volkswagen,Transporter,Ute / Tray
Volvo,C30,Hatchback
Volvo,C40,SUV
Volvo,C40,Wagon
Volvo,S60,Sedan
Volvo,S60,nan
Volvo,V40,Hatchback
Volvo,V40,Wagon
Volvo,V50,Wagon
Volvo,V60,Wagon
Volvo,XC40,SUV
Volvo,XC60,SUV
Volvo,XC70,SUV
Volvo,XC90,SUV
Volvo,Xc,SUV
Volvo,Xc,Wagon
